Commit Hash,Author,Date (ISO),Files Changed,Insertions,Deletions,Message
"f3567b31a75deed7026a9567c2b87a96d6f40824","Luis Alvarez","2025-04-01T16:44:42-04:00",       2,401,0,"Initial commit"
"fea1d7a25c837c7e32dd874599987a27626735a3","Michael Cruz Sanchez","2025-04-01T17:43:49-04:00",       1,1,1,"Update README.md"
"a06a0b46c7893c93e87e32b27f941495f59cea4c","Luis Alvarez","2025-04-04T17:42:41-04:00",      30,897,1,"init client service"
"7976522fefc51b70cf144df58147a5b6dbd3867c","Luis Alvarez","2025-04-04T22:05:48+00:00",       1,1,0,"Merge branch 'main' into init"
"2bf5adcb8d6db59232480614d06fed9dc0f68473","Luis Alvarez","2025-04-04T22:06:01+00:00",      30,898,1,"Merge pull request #1 from AtripB/init"
"d78d7bd98167554f1cb93cac6a10053ada0339f6","lilo","2025-04-06T00:11:45-04:00",       1,6,6,"Replace ClientService.API for ClientService"
"d9660828898cf355656b351e8035b627a19b9f05","Michael Cruz Sanchez","2025-04-08T12:59:01-04:00",       1,1,0,"Create testing-webhook"
"38dcdafd2dfb5d1fb3c56417c6c1b7c6bfcfe051","lilo","2025-04-08T13:08:18-04:00",       2,27,0,"Adding Pumble notififcations"
"0c51d3493d23d1063a272eeab9ce369a4d149305","Michael Cruz Sanchez","2025-04-08T13:09:31-04:00",       1,1,0,"Update testing-webhook"
"678e6f25257db83f2b291ac190e1b7b029c27f52","lilo","2025-04-08T13:12:24-04:00",       1,4,8,"Updating Pumble notififcations actions. It was too generic"
"88f8f93d7258af7c95af1dc0865246a1277bd0f8","Michael Cruz Sanchez","2025-04-08T13:14:07-04:00",       1,2,0,"Update testing-webhook"
"65242df84db18112f3ce8890365cc63b37ac962a","lilo","2025-04-08T13:18:45-04:00",       1,3,2,"Fixing the commit format"
"98209885362cb22f7de4feee442ab07b11e29705","lilo","2025-04-08T13:22:00-04:00",       1,9,3,"Fixing the commit format"
"d9e99db44ebbc8080c30da131d67553557a8ea2d","lilo","2025-04-08T13:27:06-04:00",       1,5,5,"Fixing the commit format 1"
"2a822af18a0ebee2a3c300c9e5a25cb5780c2162","Luis Alvarez","2025-04-14T19:44:03+00:00",     182,3809,847,"add micro service project"
"e183bc85a6d437bcbb68c8605e6666c4958ec936","czabala98","2025-04-16T14:56:38-04:00",      17,232,4,"Entity ready"
"3e65b9c7ab02d9b96fc9831e9f966fc715d3cac9","czabala98","2025-04-16T15:03:27-04:00",       1,0,5,"Update Photos.cs"
"c00304673e46e17c6e6e4e308ef1de0d6a391172","Luis Alvarez","2025-04-22T03:47:04+00:00",      17,227,4,"Merge pull request #2 from AtripB/new-Entity"
"825d9654aad9b3349b0801e8b1580ffa6ae9e85c","Luis Alvarez","2025-05-13T01:01:44+00:00",      66,2288,162,"add endpoint register, add device and login"
"86376f825a15f4416cc7f9d0e531c6ccedf09a8f","Luis Alvarez","2025-05-13T01:40:12+00:00",       5,14,5,"Add missing username property"
"596519b8bde2917db63a27455d54f48fbb7205ad","Luis Alvarez","2025-05-15T10:04:21-04:00",      67,2298,163,"Merge pull request #3 from AtripB/register-user"
