Commit Hash,Author,Date (ISO),Files Changed,Insertions,Deletions,Message
"f90162d964d1300e270b23c38ab18e1c2019b716","czabala98","2025-04-22T17:09:55-04:00",     154,7179,0,"Initial commit"
"76302c10567abb493f7987f16fe0c19de8fd8a93","czabala98","2025-04-23T14:41:22-04:00",      26,1768,63,"trabajando con las pantallas etc"
"042305a3d1d9c8724847dfb9d19030cfc70f0d73","czabala98","2025-04-23T19:38:38-04:00",      12,377,163,"cambios"
"1e37281bbddf9ea52fc30709c4bf24c266f295a1","czabala98","2025-04-24T16:51:18-04:00",       6,420,2,"agregando otras panatllas"
"2de9bbf5d548a4f11938794bec87eba4b7859994","czabala98","2025-04-29T22:49:43-04:00",      20,1097,11,"agregando pantalla"
"38b4b6b2232f0c31a5cfa9aa4926f77f0ef3f252","czabala98","2025-05-01T17:35:08-04:00",      13,210,11,"trabajando pantalla notificacion"
"8b7acf5124c9711c4e9a6f1410f01b2085fd2ad3","czabala98","2025-05-01T17:40:09-04:00",      15,2,39,"warning"
"edeb5ae02dcd412c67a6d8928455c9aedd4fb168","czabala98","2025-05-01T23:23:46-04:00",      15,449,30,"agregando pantalla addrees es la que vas luego de pedidos"
"f2679de6b4a251bc967d3c0d1eebbdd95d996aba","czabala98","2025-05-02T15:00:20-04:00",      18,1070,390,"termiando el flujos de la panatalla de pedido"
"69b2b7289a6002aca1999f267ebc2b23a0b86499","czabala98","2025-05-13T17:23:53-04:00",       7,319,181,"integrando el login"
"675b302ef17a58be5aa07b58c6bdb1477aca04ab","czabala98","2025-05-13T23:26:41-04:00",       3,69,53,"login listo"
"79c82460253ea68865ae26158daec3702bd58e9c","czabala98","2025-05-14T08:25:09-04:00",       4,22,9,"login listo"
"77489fb2a38cfd3ce47cc395c5e37c43c097e1ce","czabala98","2025-05-14T08:36:34-04:00",       3,29,23,"cambiando algo de la logica"
"16520ac2472f578d010ffa7a8c2f7f8388b63df8","czabala98","2025-05-14T11:01:18-04:00",       5,160,80,"idiomas agregados y validacion campos registros"
"f0fa658c9e3a1556c62f57f4e0e8e817ed78b53b","czabala98","2025-05-14T12:24:15-04:00",       5,180,114,"idiomas a continuar"
